投诉建议	提个改进建议，手机1835359537！
退换货	我想退货怎么办？，商品是家电急！
订单查询	急需了解，我的订单什么时候发货？麻烦了
订单查询	我的订单什么时候发货？！
订单查询	我的订单什么时候发货？
支付问题	支付失败了怎么办？谢谢
账号问题	账号登不上了怎么办？
价格优惠	会员有什么折扣？谢谢
账号问题	怎么注册新账号？麻烦了
投诉建议	我要投诉客服态度不好，金额2106元麻烦了
支付问题	怎么开发票？麻烦了
投诉建议	急需了解，我要投诉客服态度不好谢谢
商品咨询	这个产品有哪些功能？
退换货	商品有质量问题想换货，用户KKYWE
价格优惠	什么时候打折？
商品咨询	怎么使用这个商品？？
价格优惠	能用优惠券吗？，商品是衣服急！
账号问题	怎么注册新账号？！
账号问题	怎么注册新账号？，用户YBAUC急！
投诉建议	你好，我要投诉客服态度不好！
价格优惠	你好，现在有优惠活动吗？急！
价格优惠	什么时候打折？麻烦了
商品咨询	我想咨询一下，这个产品有哪些功能？，用户DJZAI！
投诉建议	请问举报虚假宣传？
账号问题	账号被盗了怎么办？麻烦了
支付问题	支付失败了怎么办？急！
退换货	帮我看一下，退货地址是什么？！
订单查询	订单状态现在是什么？？
支付问题	麻烦问一下，支付失败了怎么办？
商品咨询	急需了解，还有库存吗？！
投诉建议	麻烦问一下，举报虚假宣传急！
投诉建议	你好，提个改进建议，时间是上个月？
账号问题	怎么注册新账号？，用户LWGTH急！
投诉建议	你好，我要投诉客服态度不好急！
退换货	麻烦问一下，商品有质量问题想换货麻烦了
账号问题	请问账号被盗了怎么办？！
账号问题	急需了解，怎么注册新账号？谢谢
支付问题	支持哪些支付方式？，手机1776978855急！
账号问题	怎么注册新账号？
退换货	帮我看一下，退款什么时候到账？，商品是食品麻烦了
退换货	我想退货怎么办？麻烦了
订单查询	我想咨询一下，快递到哪了？，金额2947元？
价格优惠	什么时候打折？！
退换货	麻烦问一下，商品有质量问题想换货急！
投诉建议	急需了解，对商品质量不满意？
账号问题	账号登不上了怎么办？！
账号问题	请问怎么注册新账号？，用户NEYBM谢谢
商品咨询	急需了解，怎么使用这个商品？急！
价格优惠	会员有什么折扣？
账号问题	我想咨询一下，账号登不上了怎么办？麻烦了
订单查询	我的订单什么时候发货？，金额1715元麻烦了
订单查询	你好，帮我查一下物流信息谢谢
投诉建议	急需了解，提个改进建议麻烦了
投诉建议	急需了解，举报虚假宣传，订单号是1671522393
商品咨询	还有库存吗？，手机1875836479
退换货	我想退货怎么办？！
退换货	急需了解，退款什么时候到账？
退换货	急需了解，商品有质量问题想换货，时间是上个月！
支付问题	支持哪些支付方式？！
投诉建议	提个改进建议
投诉建议	我要投诉客服态度不好，订单号是5043081088麻烦了
投诉建议	举报虚假宣传
投诉建议	我要投诉客服态度不好谢谢
退换货	帮我看一下，退货地址是什么？？
账号问题	账号被盗了怎么办？谢谢
商品咨询	怎么使用这个商品？，订单号是4633067672？
订单查询	快递到哪了？！
订单查询	我的订单什么时候发货？，商品是衣服急！
订单查询	急需了解，订单状态现在是什么？，用户AYNFG！
订单查询	请问我的订单什么时候发货？急！
商品咨询	麻烦问一下，这个产品有哪些功能？
账号问题	忘记密码了怎么找回？急！
退换货	请问我想退货怎么办？
账号问题	账号登不上了怎么办？！
商品咨询	我想咨询一下，怎么使用这个商品？，时间是上个月麻烦了
商品咨询	急需了解，这个产品有哪些功能？
退换货	急需了解，商品有质量问题想换货
投诉建议	帮我看一下，提个改进建议，时间是今天麻烦了
支付问题	我想咨询一下，怎么开发票？
商品咨询	这个产品有哪些功能？！
账号问题	怎么注册新账号？急！
