体育	湖人击败凯尔特人，詹姆斯砍下30分8篮板5助攻
体育	湖人队力克凯尔特人，詹姆斯豪取30分8板5助
体育	詹姆斯率湖人战胜绿军，贡献30+8+5全能数据
体育	湖人大胜凯尔特人，詹皇砍下30分带队取胜
体育	詹姆斯30分8篮板5助攻，湖人客场击败凯尔特人
体育	湖人险胜凯尔特人，詹姆斯关键三分锁定胜局
体育	詹皇爆发砍30+8+5，湖人终结凯尔特人三连胜
体育	湖人vs凯尔特人：詹姆斯30分制胜
体育	詹姆斯高效砍30分，湖人轻取凯尔特人
体育	湖人主场迎战凯尔特人，詹姆斯30分8板5助带队赢球
体育	梅西率阿根廷夺得2024美洲杯冠军，决赛打入制胜点球
体育	阿根廷夺冠！梅西点射绝杀助球队捧起美洲杯
体育	梅西一锤定音，阿根廷2-1击败巴西夺美洲杯
体育	2024美洲杯落幕，梅西领衔阿根廷登顶
体育	梅西加冕美洲杯MVP，阿根廷第16次夺冠
体育	C罗加盟利雅得胜利后首秀破门，助球队3-0大胜
体育	C罗首秀即进球，利雅得胜利3-0横扫对手
体育	克里斯蒂亚诺·罗纳尔多首秀建功，利雅得胜利取得开门红
体育	樊振东夺得2024巴黎奥运会男单金牌
体育	国乒男队樊振东奥运夺冠，实现大满贯伟业
体育	全红婵跳水女子10米台摘金，完美发挥征服裁判
体育	中国跳水梦之队再添一金，全红婵强势夺冠
体育	孙颖莎女乒单打夺冠，为中国代表团赢得第20金
体育	郑钦文逆转取胜，首夺WTA1000赛冠军
体育	中国金花郑钦文创造历史，首夺WTA顶级赛桂冠
娱乐	周杰伦新专辑《最伟大的作品》销量破亿
娱乐	周董新专《最伟大的作品》销量突破一亿大关
娱乐	周杰伦新专辑热卖，预售额已超亿元
娱乐	《最伟大的作品》发行一周销量破亿，周杰伦再创纪录
娱乐	周杰伦新歌引爆全网，专辑销量迅速破亿
娱乐	沈腾马丽新片《抓娃娃》票房突破30亿
娱乐	开心麻花新作《抓娃娃》票房破30亿，成暑期档冠军
娱乐	沈腾马丽再度合作，《抓娃娃》狂揽30亿票房
娱乐	电影《抓娃娃》票房破30亿，刷新喜剧片纪录
娱乐	赵丽颖荣获金鹰奖最佳女主角
娱乐	赵丽颖凭《风吹半夏》斩获金鹰视后
娱乐	金鹰奖揭晓，赵丽颖封后实至名归
娱乐	王一博新剧《冰雨火》收视率破2，口碑爆棚
娱乐	《冰雨火》收视夺冠，王一博演技获赞
娱乐	迪丽热巴代言某国际品牌，官宣当日热搜第一
娱乐	热巴成为全球代言人，品牌官宣引爆社交平台
科技	iPhone 16发布：搭载A18芯片，支持卫星通信
科技	苹果正式发布iPhone 16，首发A18芯片并支持卫星通话
科技	iPhone 16系列登场，A18芯片性能提升20%
科技	苹果新品发布会：iPhone 16支持卫星SOS紧急联络
科技	iPhone 16 Pro Max开售，预约量破千万
科技	华为Mate70即将发布，搭载自研麒麟9100芯片
科技	华为官宣Mate70系列，11月重磅来袭
科技	麒麟9100芯片曝光，华为Mate70性能对标骁龙8 Gen3
科技	小米15 Ultra发布，徕卡四摄+2亿像素震撼登场
科技	小米冲击高端，15 Ultra影像系统再升级
科技	特斯拉Model 4量产在即，起售价或低于20万元
